Customer - Street,Customer - city,Customer - ZIP,Customer - Name,Customer - Last name,Customer - Phone Number,Customer - Email,Customer - ID,Transaction - Date,Transaction - Product,Transaction - Category,Transaction - value
ul. Garsteckiego Maksymiliana 30,Poznań,60-682,Julitta,Nowicka,79 665 35 07,JulittaNowicka@cuvox.de,44682647299,16/09/19,32U93N,Sunglasses,349
ul. Krośnieńska 149,Gdynia,81-541,Wioletta,Kowalczyk,51 120 47 13,WiolettaKowalczyk@fleckens.hu,36711916999,21/04/18,JM99DI,Poloshirt,46
ul. Złotoryjska 112,Legnica,59-205,Iwona,Kowalska,69 449 59 21,IwonaKowalska@armyspy.com,85359101499,16/08/18,DAEITW,Shoes,235
ul. Szczepaniaka Wojciecha 70,Kielce,25-118,Beata,Czerwinska,72 948 28 71,BeataCzerwinska@rhyta.com,98909715099,26/06/17,GY0W75,Hat,113
ul. Kleeberga Franciszka 28,Poznań,61-615,Jadwiga,Czerwinska,79 854 25 38,JadwigaCzerwinska@teleworm.us,84539035199,13/01/19,DJ4A3Q,Skirt,331
ul. Gryfitów 46,Warszawa,03-266,Czesława,Zając,51 925 94 84,CzeslawaZajac@superrito.com,81590796799,05/10/17,NQNB86,Dress,300
ul. Robotnicza 52,Studzionka,43-245,Halina,Wieczorek,67 470 92 68,HalinaWieczorek@jourrapide.com,80558249599,07/04/17,8RMOSG,Coat,312
ul. Bosmańska 74,Poznań,60-480,Asia,Król,51 535 68 43,AsiaKrol@teleworm.us,9836836499,01/09/19,QTZ7YA,Highheels,289
Al. Politechniki 27,Łódź,93-590,Radomiła,Michalska,67 128 85 10,RadomilaMichalska@jourrapide.com,50773057299,28/02/18,EP896Q,Dress,58
ul. Młodzieżowa 26,Chorzów,41-516,Gabrysia,Zając,69 132 17 18,GabrysiaZajac@jourrapide.com,32208295199,05/03/17,O3O8M3,Shorts,98
ul. Książęca 5,Warszawa,00-418,Ewa,Kaczmarek,78 183 65 97,EwaKaczmarek@superrito.com,72882942799,15/02/18,5NZLFF,Gloves,173
ul. Mewia 127,Wrocław,51-418,Nikifor,Rutkowski,79 649 95 13,NikiforRutkowski@gustr.com,62943944799,19/01/19,GVTVTY,Sweater,153
ul. Pusta 96,Poznań,61-053,Krysia,Duda,88 705 26 69,KrysiaDuda@einrot.com,69932693299,12/09/18,MMMXA0,Highheels,85
ul. Suwak 80,Warszawa,02-676,Joasia,Grabowska,78 550 14 53,JoasiaGrabowska@teleworm.us,30495436899,27/04/17,RCZ3C0,Dress,279
ul. Strzegomska 97,Wrocław,54-430,Kasia,Kwiatkowska,69 955 09 74,KasiaKwiatkowska@armyspy.com,63256297499,20/04/19,B0B0V8,Boots,216
ul. Turoszowska 136,Łódź,91-025,Witołd,Zawadzki,53 743 36 64,WitoldZawadzki@teleworm.us,67294537499,07/07/18,594FNJ,Jeans,205
ul. Ceglana 135,Radom,26-601,Felicyta,Szczepańska,53 289 79 56,FelicytaSzczepanska@rhyta.com,51249873499,22/05/17,CZYN7R,Leatherjackets,248
ul. Fantastyczna 124,Lublin,20-531,Gabrysia,Borkowska,79 473 48 50,GabrysiaBorkowska@jourrapide.com,28426563899,31/03/17,EOJ9SZ,Highheels,276
ul. Lisia 142,Białystok,15-356,Lechosława,Czarnecka,88 278 96 56,LechoslawaCzarnecka@rhyta.com,13749875599,25/06/18,JS62RN,T-shirt,282
ul. Sienna 28,Wrocław,51-349,Rościsława,Wysocka,66 532 46 69,RoscislawaWysocka@jourrapide.com,25244739299,05/09/19,IBLFRO,T-shirt,333
ul. Budowlana 9,Sosnowiec,41-208,Wera,Zawadzka,79 251 25 81,WeraZawadzka@einrot.com,87686121599,23/08/18,NAX5W4,Sweater,89
ul. Letnia 148,Warszawa,03-442,Janusz,Duda,66 272 33 43,JanuszDuda@superrito.com,86256659099,12/08/18,3H4IE2,Shoes,348
ul. Lipowa 9,Białystok,15-425,Krzyś,Majewski,51 557 38 83,KrzysMajewski@jourrapide.com,25650533499,19/09/19,47WOC9,Jeans,148
ul. Antyczna 61,Kraków,31-419,Karina,Pawlak,79 276 51 82,KarinaPawlak@jourrapide.com,40601509799,24/02/17,1VB35E,Shoes,334
Al. Grunwaldzka 128,Gdańsk,80-337,Ireneusz,Kowalczyk,78 919 43 87,IreneuszKowalczyk@armyspy.com,55363963399,29/03/19,KYOV3U,T-shirt,135
ul. Baczyńskiego Krzysztofa Kamila 103,Warszawa,00-036,Krystyna,Maciejewska,78 765 21 73,KrystynaMaciejewska@einrot.com,35804647999,21/12/18,47WOC9,Jeans,148
Pl. Świętego Mikołaja 127,Wrocław,53-663,Salomea,Wysocka,79 234 19 26,SalomeaWysocka@armyspy.com,76413559599,30/01/18,3S32FP,Boots,66
ul. Niewieścińska 50,Bydgoszcz,85-552,Zdzisława,Kwiatkowska,53 451 63 73,ZdzislawaKwiatkowska@cuvox.de,94266406399,23/02/17,BYKZ0N,T-shirt,261
ul. Rynek Śródecki 45,Poznań,61-010,Albin,Wiśniewski,79 608 53 70,AlbinWisniewski@teleworm.us,32873283999,22/06/19,OGVEMI,Skirt,160
ul. Jachowicza Stanisława 43,Szczecin,70-787,Wojciecha,Sokołowska,66 968 52 04,WojciechaSokolowska@superrito.com,12358822199,08/06/19,Z12723,Jacket,151
ul. Inwalidzka 116,Chorzów,41-506,Kasia,Sobczak,88 197 08 12,KasiaSobczak@dayrep.com,89547407999,02/10/18,WCKDG0,Shoes,270
ul. Na Zboczu 115,Gdańsk,80-110,Ania,Gorska,69 617 63 11,AniaGorska@cuvox.de,32602370099,26/11/19,YNCN9Q,Jeans,262
ul. Lenartowicza Teofila 146,Kraków,31-138,Urszula,Król,78 411 79 18,UrszulaKrol@fleckens.hu,82274861199,01/10/17,MIRV32,Jacket,130
ul. Batorego Stefana 139,Bielsko-Biała,43-300,Danuta,Maciejewska,79 694 13 67,DanutaMaciejewska@jourrapide.com,59843558499,05/03/19,YUPRWQ,Bra,117
ul. Cygański Las 98,Bielsko-Biała,43-309,Serafin,Dąbrowski,53 449 63 64,SerafinDabrowski@jourrapide.com,31345266799,29/10/17,8SA5Q1,Longcoat,238
ul. Chełmińska 63,Poznań,60-645,Judyta,Zawadzka,88 415 07 78,JudytaZawadzka@superrito.com,34585787699,11/11/19,C1HO43,T-shirt,275
ul. Pierzchówka 48,Kraków,30-611,Basia,Pawlak,69 806 53 82,BasiaPawlak@jourrapide.com,Customer - ID,Transaction - Date,Transaction - Product,,
Pl. Dworcowy 147,Gdańsk,80-321,Wiola,Jabłońska,66 503 73 00,WiolaJablonska@fleckens.hu,95617742999,09/08/18,3LVJCT,Dress,245
ul. Pejzażowa 32,Kraków,31-344,Bolesława,Dąbrowski,67 744 94 63,BoleslawaDabrowski@dayrep.com,66220734399,15/03/18,MB7SHL,T-shirt,226
ul. Przeskok 97,Poznań,61-315,Bronisława,Wiśniewska,51 822 77 73,BronislawaWisniewska@jourrapide.com,3894539199,02/08/19,VQ4J0J,Swimsuit,60
ul. Skowronkowa 134,Lublin,20-832,Zygmunt,Kowalski,53 304 50 41,ZygmuntKowalski@jourrapide.com,83378186799,09/10/18,O3O8M3,Shorts,98
ul. Zamkowa 76,Poznań,61-768,Kazia,Rutkowska,78 377 21 65,KaziaRutkowska@jourrapide.com,504190299,29/01/17,EMFBX6,Skirt,96
ul. Wozaków 26,Katowice,40-567,Augustyna,Król,72 876 52 82,AugustynaKrol@rhyta.com,64212421899,23/01/17,NAX9ZS,T-shirt,59
ul. Wagonowa 140,Wrocław,53-609,Gabriela,Kowalczyk,72 468 51 31,GabrielaKowalczyk@rhyta.com,12363744599,23/11/18,X91F7L,Skirt,218
ul. Sztormowa 40,Łódź,94-117,Wacława,Grabowska,69 498 58 94,WaclawaGrabowska@cuvox.de,71252760999,16/07/18,DZOS1L,T-shirt,148
ul. Doktora Adamskiego Jana 33,Rybnik,44-270,Włodek,Majewski,88 683 25 86,WlodekMajewski@cuvox.de,69432697099,21/11/18,9I1ODD,Jacket,208
ul. Zygmuntowska 82,Rzeszów,35-025,Honorata,Chmielewska,66 338 16 03,HonorataChmielewska@rhyta.com,27642526599,28/11/19,32DCQA,T-shirt,42
ul. Jastrzębia 125,Ruda Śląska,41-706,Jagoda,Symanska,53 383 70 35,JagodaSymanska@fleckens.hu,59677694499,15/05/19,NAX5W4,Sweater,89
ul. Szajnochy 91,Bydgoszcz,85-738,Matylda,Wojciechowska,60 424 34 50,MatyldaWojciechowska@einrot.com,32830016899,26/02/18,W2YWBU,Shirt,136
ul. Barlickiego Norberta 92,Szczecin,71-664,Salomea,Sokołowska,60 476 79 56,SalomeaSokolowska@teleworm.us,62249308599,13/09/18,HW491Y,T-shirt,268
ul. Fornalskiej Małgorzaty 8,Świętochłowice,41-600,Władysława,Król,69 947 57 98,WladyslawaKrol@gustr.com,61924382199,10/08/17,O84BGH,Jeans,338
ul. Śledziowa 135,Gdynia,81-340,Metody,Czarnecki,79 960 46 65,MetodyCzarnecki@gustr.com,75327417199,11/02/19,ONJNR1,T-shirt,135
ul. Balonowa 77,Warszawa,02-635,Weronika,Kwiatkowska,51 549 82 87,WeronikaKwiatkowska@armyspy.com,14263311999,17/01/18,9C18RV,Jeans,288
ul. Kornasa Henryka 142,Katowice,40-667,Kazimierz,Olszewski,78 585 36 61,KazimierzOlszewski@jourrapide.com,63955401099,01/12/18,5EMDWF,Hoodies,241
ul. Zwycięstwa 139,Koszalin,75-600,Wiga,Rutkowska,72 580 31 13,WigaRutkowska@dayrep.com,19890622999,19/07/17,HW491Y,T-shirt,268
ul. Wierzbięcice 114,Poznań,61-565,Lucyna,Nowakowska,72 216 80 41,LucynaNowakowska@jourrapide.com,37356543799,26/01/17,00M6MJ,Gloves,344
ul. Czapli 113,Łódź,91-511,Adelajda,Czarnecka,67 978 31 37,AdelajdaCzarnecka@einrot.com,21896145999,17/02/18,R7Y6BM,Jacket,86
ul. Dworcowa 45,Szczecinek,78-410,Seweryna,Czerwinska,79 757 04 97,SewerynaCzerwinska@teleworm.us,65661291599,13/04/17,VVF7SM,Dress,305
ul. Zielony Most 95,Kraków,31-351,Bronisława,Piotrowska,79 856 21 55,BronislawaPiotrowska@gustr.com,23618726299,03/04/17,BUI0P5,Boots,244
ul. Brodnicka 125,Gdynia,81-052,Dobrogost,Grabowski,72 913 07 56,DobrogostGrabowski@gustr.com,87907035899,26/10/19,GVEAE8,Dress,176
ul. Wiączyńska 129,Łódź,92-760,Dobrosława,Adamska,53 786 17 29,DobroslawaAdamska@einrot.com,55530082399,04/11/17,OXRLPL,Jacket,60
ul. Grodzka 133,Jaworzno,43-600,Szczeosny,Kaczmarek,60 288 46 99,SzczeosnyKaczmarek@jourrapide.com,46221943399,24/06/18,S8ZMOE,T-shirt,43
ul. Solna 143,Gdynia,81-577,Dorota,Kaczmarek,69 874 84 49,DorotaKaczmarek@rhyta.com,34414094699,08/12/19,92VCKB,Hoodies,215
ul. Radzymińska 128,Warszawa,03-560,Justyna,Duda,88 195 10 97,JustynaDuda@gustr.com,96706520599,15/03/19,RI0RL3,Dress,162
ul. Botaniczna 17,Warszawa,04-568,Malina,Dąbrowski,79 609 46 96,MalinaDabrowski@dayrep.com,37947116399,06/07/18,YY3I7O,Shoes,186
ul. Drewniana 54,Lublin,20-305,Genowefa,Ostrowska,79 664 88 19,GenowefaOstrowska@cuvox.de,78935931999,15/07/17,DU1VY1,T-shirt,147
ul. Kilińskiego Jana 33,Wrocław,50-263,Matylda,Rutkowska,69 177 42 22,MatyldaRutkowska@einrot.com,41530488399,10/09/17,EFRA4F,Leatherjackets,295
ul. Hutnicza 117,Warszawa,03-791,Wacława,Nowicka,78 519 93 95,WaclawaNowicka@armyspy.com,91266182799,12/05/19,XRP2P5,Sweater,39
ul. Budzyńska 16,Poznań,60-419,Gabrysia,Kwiatkowska,67 361 35 16,GabrysiaKwiatkowska@dayrep.com,96224433999,11/11/19,RZU5PW,Boots,236
ul. Drzymały Michała 140,Jaworzno,43-607,Waleria,Woźniak,72 424 90 27,WaleriaWozniak@cuvox.de,6765600499,20/02/17,NAX5W4,Sweater,89
ul. Żuławska 96,Warszawa,04-630,Łucja,Nowicka,60 933 73 01,LucjaNowicka@dayrep.com,55737335699,20/04/18,CRC4WH,Shoes,246
ul. Kościuszki 64,Biłgoraj,23-400,Bogumiła,Grabowska,51 285 14 78,BogumilaGrabowska@teleworm.us,55652076999,23/08/17,YUPRWQ,Bra,117
ul. W Polu 119,Siemianowice Śląskie,41-103,Halina,Nowicka,79 889 79 63,HalinaNowicka@armyspy.com,70480175799,24/12/18,QONEYV,Hat,301
ul. Kozia 119,Lublin,20-110,Oliwia,Tomaszewska,69 535 03 84,OliwiaTomaszewska@einrot.com,23335394299,29/01/18,NGK7QU,Jeans,85
ul. Ciesielska 33,Szczecin,71-897,Martyn,Kozłowski,88 346 80 02,MartynKozlowski@cuvox.de,15827974999,13/11/18,O32V76,Sweater,109
ul. 1 Maja 130,Brzeg,49-305,Wisława,Duda,78 299 64 01,WislawaDuda@fleckens.hu,60691728799,07/05/17,OBX0JL,T-shirt,293
ul. Astrów 80,Świętochłowice,41-605,Nadzieja,Rutkowska,72 490 94 42,NadziejaRutkowska@einrot.com,86518072799,19/05/18,32DCQA,T-shirt,42
ul. Stawowa 60,Będzin,42-500,Kornelia,Adamska,78 622 88 93,KorneliaAdamska@dayrep.com,34563882399,07/08/18,7YEPA3,T-shirt,253
Al. Marzeń 101,Lublin,20-536,Marzena,Czarnecka,88 838 08 91,MarzenaCzarnecka@cuvox.de,15691498399,27/10/18,98TSJ9,Shoes,257
ul. Piołunowa 20,Wrocław,54-530,Andrzej,Symanski,66 869 30 61,AndrzejSymanski@gustr.com,88440344199,25/03/17,MBASZ9,Shirt,244
ul. Świetlicowa 127,Bydgoszcz,85-884,Nikifor,Dąbrowski,88 568 06 67,NikiforDabrowski@jourrapide.com,7554268999,05/06/19,CFPXYF,Leatherjackets,286
ul. Doktora Olchawy Stanisława 116,Katowice,40-383,Michał,Król,78 456 37 42,MichalKrol@gustr.com,79501690799,31/03/17,WMUQUF,Longcoat,114
ul. Malczewskiego Jacka 127,Kraków,30-209,Joasia,Jaworska,53 942 73 84,JoasiaJaworska@armyspy.com,84336855699,23/06/18,6JO9EU,Sunglasses,213
ul. Korfantego Wojciecha 63,Łódź,92-432,Agnieszka,Czerwinska,51 888 06 87,AgnieszkaCzerwinska@einrot.com,45297845099,29/01/18,V9QI22,Sweater,302
ul. Pułtuska 136,Warszawa,04-331,Natasza,Jaworska,78 349 80 52,NataszaJaworska@dayrep.com,7513266999,20/07/18,4K4L23,Sunglasses,320
ul. Dygasińskiego Adolfa 39,Radom,26-604,Apolonia,Woźniak,51 799 58 16,ApoloniaWozniak@armyspy.com,17467475899,26/08/18,95Q6WX,Leatherjackets,239
ul. Walki Młodych 33,Krzyż Wielkopolski,64-761,Dobrosława,Gorska,53 656 78 05,DobroslawaGorska@dayrep.com,77876754499,28/08/18,FKHS91,Dress,78
ul. Racławicka 47,Białystok,15-107,Tobiasz,Gorski,51 120 88 36,TobiaszGorski@jourrapide.com,69781962699,25/08/17,HUD1MR,Dress,333
ul. Karminowa 17,Zielona Góra,65-128,Radomiła,Ostrowska,60 607 80 22,RadomilaOstrowska@jourrapide.com,24975359899,09/05/19,L3ABU8,Skirt,277
ul. Kaliska 92,Turek,62-700,Krzyś,Kwiatkowski,72 860 22 72,KrzysKwiatkowski@cuvox.de,40252473399,18/08/18,JSSQBZ,Shoes,169
ul. Glinik 104,Kraków,31-990,Walentyna,Wieczorek,66 566 08 05,WalentynaWieczorek@einrot.com,50502891499,10/04/17,U5P3MX,T-shirt,193
ul. Kontuszowa 1,Warszawa,01-345,Wiola,Majewska,69 113 74 30,WiolaMajewska@cuvox.de,96859999899,11/10/17,Y4WKHE,Dress,152
ul. Jedności Narodowej 59,Wrocław,50-259,Gustaw,Wieczorek,51 427 01 13,GustawWieczorek@fleckens.hu,91969014799,18/01/18,792HO9,Jeans,170
ul. Swantibora 72,Poznań,61-063,Julitta,Kowalczyk,67 571 59 31,JulittaKowalczyk@einrot.com,96517244899,19/08/19,MG1GHS,Scarf,184
ul. Sienna 35,Wrocław,51-349,Edyta,Pawlak,78 522 23 66,EdytaPawlak@teleworm.us,80327891699,17/12/18,RXSG29,Poloshirt,188
ul. Augustowska 60,Sztabin,16-310,Beata,Wojciechowska,60 905 59 25,BeataWojciechowska@superrito.com,1902957699,12/12/18,0U2EV6,Highheels,122
ul. Przemysłowa 40,Świętochłowice,41-600,Czesław,Kaczmarek,51 112 24 51,CzeslawKaczmarek@fleckens.hu,86327803399,05/06/17,ZF4Z5S,T-shirt,80
